ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
2022 DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,1.23,1.22,1.1,1.09,0.75,0.01,0.04,0.31,0,1.01,-0.12,-0.06,0.04,0.13,-0.06,0.23,0.07,0.02,-46.55,0.04,0.15,0
2022 DAP GAYRİMENKUL GELİŞTİRME A.Ş.,2.65,2.5,0.58,1.55,1.5,0.25,0.32,0,0,0.01,0.14,0,45.34,0.4,-0.01,1,0.11,0.09,0.33,0.32,0.15,0
2022 ÇELEBİ HAVA SERVİSİ A.Ş.,1.83,1.37,0.83,1.25,1.23,0.55,0.18,0.01,0.02,0.46,-0.07,-0.01,0.39,0.24,-0.02,0.88,0.09,0.06,-1.55,0.18,0.15,0
2022 ÇALIK DENİM TEKSTİL SANAYİ VE TİCARET A.Ş.,2.28,2.23,1.72,1.24,0.67,0.03,0.54,0.01,0.14,0.57,-0.35,-0.06,0.96,0.33,0,0.55,0.13,0.17,-71.39,0.54,0.42,0
2022 COSMOS YATIRIM HOLDİNG A.Ş.,0.37,0.31,0.2,3.83,1.18,0.31,0.1,0,0,0.57,0.1,0.04,0.18,0.06,-0.02,2.76,0.02,0.07,-0.3,0.1,0.15,0
2022 CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,1.02,0.97,0.39,0.95,0.75,0.13,0.04,0.22,0,1.59,0,0,0.02,0.18,-0.03,0.94,0.03,0.02,-0.24,0.04,0.04,0
2022 CEO EVENT MEDYA A.Ş.,0.57,0.22,0.54,2.7,2.7,0.64,0.18,0,0,0.02,5.68,0.08,8.04,0.05,-0.04,4.51,0.02,0.11,-0.61,0.18,0.73,0
2022 CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,0.39,0.39,0.05,17.27,12.09,0,0.09,0,0,0,-102.21,-0.01,827.68,0.26,0,0.92,0.1,0.06,0.26,0.09,0.28,0
2022 BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,0.88,0.88,0.77,0.8,0.58,0,0.1,0.31,0.08,0.93,0.15,0.07,0.11,0.1,-0.79,7.29,0.01,0.05,-5.81,0.1,0.02,0
2022 BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,3.04,2.9,1.09,1.25,1.08,0.13,0.04,0,0,2.15,-0.09,-0.05,0.02,0.28,-0.11,0.34,0.07,0.01,10.39,0.04,0.11,0
2022 BİLKOM BİLİŞİM HİZMETLERİ A.Ş.,7.45,6.04,7.44,1.12,0.68,0.19,0.32,0.11,0.1,0.02,-9.85,-0.02,18.53,0.04,-0.01,0.7,0.07,0.04,1.74,0.32,5.8,0
2022 BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,1.72,1.59,1.46,1.31,0.98,0.09,0.15,0,0,0.74,-0.03,-0.01,0.2,0.09,-0.07,0.89,0.07,0.05,22.22,0.15,0.35,0
2022 BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,1.12,0.95,0.94,1.61,1.11,0.18,0.29,0,0,0.6,-0.1,-0.03,0.48,0.26,-0.02,0.86,0.19,0.14,0.27,0.29,0.67,0
2022 BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,3.19,2.36,2.28,1.05,0.58,0.37,0.25,0,0,1.13,-0.1,-0.03,0.22,0.24,-0.2,0.75,0.11,0.06,3.76,0.25,0.31,0
2022 AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,1.71,1.63,1.66,1.55,0.96,0.04,0.28,0,0,0.07,-0.6,-0.02,3.88,0.12,0,0.89,0.15,0.1,-0.12,0.28,2.95,0
2022 ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,0.02,0.01,0.01,2.86,2.86,1.35,0,0.03,0,0,0.23,0,0.74,0.05,-0.06,1.46,0,0,4.53,0,0,0
2022 ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,0.86,0.16,0.69,2.48,1.84,1.02,0.07,0.09,0.72,0.01,-1.46,-0.01,8.39,0.17,-0.01,0.91,0.07,0.04,4.61,0.07,0.86,0
2022 ALARKO HOLDİNG A.Ş.,0.5,0.36,0.44,1.14,0.93,0.31,0.42,0.25,0.29,0.12,2.87,0.23,3.52,0.25,-0.13,5.02,0.06,0.28,23.72,0.42,0.43,0
2023 REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.,1.31,1.22,0.6,0.78,0.78,0.15,0.23,0.08,0.7,1.21,-0.01,0,0.19,0.46,-0.02,0.96,0.11,0.1,1.55,0.23,0.17,0
2023 RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,0.14,0.09,0.11,2.98,2.63,0.41,0.15,0.15,0,0.06,2.39,0.12,2.61,0.46,-0.29,9.12,0.02,0.13,10.98,0.15,0.21,0
2023 SANİCA ISI SANAYİ A.Ş.,1.3,1.2,1.04,1.85,1.38,0.1,0.13,0.35,0.16,0.36,-0.35,-0.05,0.36,0.34,-0.09,0.44,0.1,0.06,3.02,0.13,0.59,0
2023 SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,2.32,2.27,1.81,1.15,0.72,0.03,0.1,0.02,0.01,0.41,-0.56,-0.07,0.23,0.22,-0.05,0.38,0.11,0.03,-0.7,0.1,0.3,0
2023 SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,2.76,2.37,2.5,1.29,0.88,0.16,0.21,0,0,0.4,-0.78,-0.08,0.53,0.11,-0.09,0.46,0.15,0.06,-0.68,0.21,1.06,0
2023 SARTEN AMBALAJ SANAYİ VE TİCARET A.Ş.,2.9,2.72,2.28,1.16,0.75,0.08,0.1,0.06,0.07,1.04,-0.12,-0.03,0.1,0.13,-0.23,0.47,0.06,0.03,-2.6,0.1,0.2,0
2023 SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.,0.5,0.43,0.38,3.8,3.02,0.18,0.41,0.44,0.04,0.04,4.13,0.12,9.66,0.35,-0.06,1.64,0.18,0.27,0.21,0.41,6.4,0
