ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
2022 YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,2.83,1.96,2.53,1.35,1.32,0.34,0.2,0.08,0,0.35,-0.17,-0.02,0.57,0.15,-0.06,0.8,0.08,0.05,-0.07,0.2,0.9,0
2022 YATAŞ YATAK VE YORGAN SANAYİ VE TİCARET A.Ş.,1.69,1.54,1.4,1.34,0.67,0.11,0.17,0,0,0.63,-0.08,-0.02,0.28,0.12,-0.04,0.81,0.1,0.06,-2.47,0.17,0.35,0
2022 VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,3.47,3.36,3.29,0.68,0.34,0.03,0.12,0,0,0.71,0.08,0.01,0.17,0.02,-0.17,2.26,0.01,0.03,-1.53,0.12,0.02,0
2022 ÜNLÜ YATIRIM HOLDİNG A.Ş.,0.61,0.4,0.5,2.53,0,0.43,0.12,0.01,0,0.02,4.17,0.04,7.39,0,0,1.66,0.07,0.08,-0.75,0.12,0.45,0
2022 UTOPYA TURİZM İNŞAAT İŞLETMECİLİK TİCARET A.Ş.,0.72,0.69,0.2,0.62,0,0.16,0.02,0,0,1.55,-0.03,-0.02,0.01,0.25,-0.17,-0.34,0.02,0.01,-53.79,0.02,0.05,0
2022 TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,1.39,0.84,1.35,1.34,0.97,0.41,0.17,0,0,0.43,0.1,0.02,0.39,0.2,-0.02,1.25,0.07,0.07,-1.8,0.17,0.46,0
2022 TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,0.35,0.32,0.19,0.45,0.27,0.15,0.02,0.13,0.44,0.05,-0.68,-0.03,0.42,0.7,-0.01,0.38,0.04,0.02,133.2,0.02,0.05,0
2022 TETAMAT GIDA YATIRIMLARI A.Ş.,1.77,1.6,1.75,1.15,0.77,0.1,-0.32,0,0,0.74,0.04,0.01,-0.43,-0.3,-0.18,0.91,-0.12,-0.11,-0.37,-0.32,-0.39,0
2022 TERA YATIRIM MENKUL DEĞERLER A.Ş.,2.22,1.54,2.21,1.39,0,0.31,0.29,0,0,0.1,1.16,0.04,2.76,0.04,-0.02,1.64,0.06,0.09,2.1,0.29,1.25,0
2022 TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.,1.56,1.45,1.53,1.21,0.27,0.07,0.64,0.68,0.04,0.28,-0.34,-0.04,2.32,0.42,-0.03,0.8,0.19,0.25,3.01,0.64,0.67,0
