Şirket Adı,TB / Ö,NFB / Ö,TK / Ö,FAVÖK / İDAFG,KVB / Ö,Cari Oran,Asit Test Oran,N / KVB,FAVÖK Marjı,BK / H,VÖK / H,NDK / Ö,NDK / TK,VÖK / Fgid,İTTA / TTA,İTTB / TTB,MDV / Ö,SM / Stok,H / TA,H / TV,H / Ö,H / MDV,Class
Dogan Sirketler,0.7823,0.4887,1.7823,2.2795,0.6012,1.8288,1.5672,0.4882,0.2308,0.1944,0.1035,0.0249,0.0140,0.6557,0.0000,0.0071,0.2480,2.1598,4.1303,0.2210,0.3938,1.5879,0
Dogan Trend,6.2916,5.1740,7.2916,0.2290,5.5216,1.0136,0.3545,0.2024,0.0174,0.1249,-0.0513,-0.4875,-0.0669,-0.4457,0.0055,0.0096,1.2989,1.8386,10.8207,1.0487,7.6465,5.8868,0
Dogu Aras,0.6847,0.6247,1.6847,4.0925,0.3704,1.6111,1.5723,0.1618,0.1876,0.2588,0.0657,0.0424,0.0252,1.3383,0.0008,0.4418,0.0042,74.4313,4.1165,0.8556,1.4415,344.7024,0
EIS Eczacibasi,0.2192,0.1869,1.2192,1.8477,0.0917,1.3718,0.9382,0.3520,0.1507,0.4077,0.0515,0.0034,0.0028,0.3639,0.0529,0.1210,0.1117,1.3579,2.3410,0.0747,0.0911,0.8160,0
Enerjisa Enerji,1.3978,1.3501,2.3978,1.2126,0.8344,0.8883,0.8244,0.0572,0.1471,0.2434,0.0060,-0.0456,-0.0190,0.0473,0.0040,0.0095,0.1326,16.1506,2.8713,0.4748,1.1386,8.5860,0
Enka Insaat,0.2767,0.1268,1.2767,838.1015,0.1965,2.8034,2.5368,0.7629,0.3295,0.2512,0.3229,0.0462,0.0362,17.5029,0.0000,0.0000,0.1924,2.4245,3.6992,0.1328,0.1696,0.8813,0
Ensari Deri Gıda ,0.5774,0.5612,1.5774,2.0623,0.4352,1.7261,0.3253,0.0373,0.1341,0.2670,-0.0082,-0.0496,-0.0314,0.0380,0.0091,0.0000,0.4223,0.2836,2.4762,0.1495,0.2359,0.5586,0
Esenboga Elektrik,0.4267,0.4195,1.4267,5.4173,0.1297,0.7754,0.7483,0.0562,2.1664,0.2823,2.9967,0.0929,0.0651,4.0726,0.0000,0.0000,0.8968,6.8908,0.5327,0.0236,0.0337,0.0376,0
Galata Wind Elek.,0.3234,0.2868,1.3234,26.6590,0.0817,1.7002,1.6916,0.4488,0.4969,0.5357,0.6095,0.0477,0.0360,7.2881,0.0000,0.0239,0.8167,74.0798,4.7489,0.0846,0.1120,0.1371,0
Goltas Goller,0.7662,0.7534,1.0000,1.3359,0.2338,0.9385,0.6362,0.0548,0.0806,0.2048,0.1956,0.0159,0.0603,1.0742,0.0681,0.0043,0.4402,1.2791,2.3441,1.0000,0.2633,0.5982,0
Goodyear,2.3244,2.0832,3.3244,0.3392,2.0958,1.0736,0.6979,0.1151,0.0260,0.1084,-0.0125,-0.0444,-0.0134,0.1417,0.0817,0.7104,0.8712,0.4444,2.6925,0.8055,2.6777,3.0736,0
Gubre Fabrikalari,0.8955,0.7410,1.8955,-0.6124,0.8263,0.9257,0.6004,0.1869,-0.0222,0.1161,-0.1430,-0.1221,-0.0644,2.5591,0.2161,0.0098,0.8709,1.3073,5.5753,0.5229,0.9912,1.1381,0
Hektas Ticaret,2.0176,1.3486,3.0176,-0.1152,1.7452,0.8956,0.5878,0.3833,-0.2389,0.0342,1.3659,-0.1463,-0.0485,1.0000,0.1064,0.1182,1.0245,0.5715,2.4081,0.1053,0.3179,0.3103,0
Inteme Insaat,4.7210,4.6583,5.7210,9.4356,4.5820,1.1667,1.1120,0.0137,0.1828,0.6015,0.0723,0.0355,0.0062,-3.7212,0.0027,0.9563,0.1188,1.7839,0.2243,0.1958,1.1202,9.4289,0
Kardemir Karabuk,0.5939,0.5557,1.5939,-0.7539,0.4744,1.3560,0.6011,0.0806,-0.0083,0.0608,-0.0412,-0.0406,-0.0254,-0.7196,0.0627,0.0006,0.9374,1.4127,5.5229,0.3380,0.5387,0.5747,0
Karel Elektrik,2.6699,2.4700,3.6699,-0.1068,2.3651,0.9889,0.5922,0.0845,-0.0079,0.0937,-0.0425,-0.1225,-0.0334,-0.4009,0.0018,0.0000,0.5283,2.0631,2.6900,0.5820,2.1360,4.0432,0
Kervan Gıda,1.2209,1.1176,2.2209,1.5777,1.0615,0.9622,0.5500,0.0973,0.0908,0.2777,-0.0100,-0.0193,-0.0087,0.0831,0.0003,0.0182,1.0361,1.7454,2.9145,0.4761,1.0575,1.0206,0
Kimteks ,2.7874,2.6553,3.7874,0.9212,2.5626,1.2472,1.0907,0.0516,0.1354,0.1383,-0.0710,-0.1217,-0.0321,-0.4505,0.0033,0.0000,0.5276,4.6295,1.2005,0.5688,2.1543,4.0832,0
Klimasan Klima,1.8047,1.7753,2.8047,1.5761,1.5588,1.1773,0.8941,0.0189,0.1110,0.0716,-0.0138,0.0666,0.0237,1.0000,0.0566,0.0092,1.8351,0.2744,1.2579,0.3370,0.9452,0.5151,0
Kordsa Tekstil,1.3566,1.2547,2.3566,0.8554,0.7740,1.3621,0.7250,0.1316,0.0410,0.1537,0.0002,0.0070,0.0030,0.0026,0.0589,0.0247,0.6063,1.4712,2.5654,0.3637,0.8572,1.4138,0
Koroplast Temizlik,0.8807,0.8376,1.8807,0.5574,0.6051,1.7422,1.2947,0.0712,0.0527,0.3631,-0.0132,-0.0376,-0.0200,-0.1130,0.0000,0.0727,0.3630,2.1237,1.2562,0.4802,0.9031,2.4879,0
Koton Magazacilik,1.5575,1.3392,2.5575,4.2785,1.1934,1.3447,0.5076,0.1829,0.0596,0.5535,0.0553,0.0995,0.0389,0.7605,0.0000,0.0000,0.2480,0.7330,6.5612,0.6412,1.6398,6.6127,0
Lila Kagit,0.3527,0.0312,1.3527,11.6063,0.3002,2.9101,2.3088,1.0710,0.3023,1.0354,0.1410,0.0570,0.0422,0.6870,0.0000,0.0000,0.4539,2.1818,1.8465,0.4173,0.5644,1.2436,0
Logo Yazilim,1.3177,1.2121,2.3177,3.3863,1.0368,0.5704,0.5591,0.1019,0.2673,0.8135,0.1041,0.0790,0.0341,1.1789,0.0030,0.0004,0.1346,14.7633,2.5622,0.3991,0.9249,6.8729,0
Margun Enerji,0.4189,0.4116,1.4189,0.7803,0.1186,0.7900,0.7610,0.0612,46.4456,131.8472,538.2291,0.0952,0.0671,1.4127,0.0000,0.0000,0.9047,9.9018,0.0033,0.0001,0.0002,0.0002,0
Marshall Boya,2.3444,2.0485,3.3444,0.9744,2.3116,1.0409,0.8463,0.1280,0.0697,0.3277,0.0307,0.0306,0.0091,0.4299,0.0091,0.2675,0.8856,3.8452,1.7353,0.7693,2.5728,2.9053,0
Mavi Giyim,1.1137,0.3667,2.1137,2.1946,0.9694,1.6283,1.0480,0.7706,0.1517,0.5182,0.1275,0.1822,0.0862,1.4964,0.0000,0.1237,0.1902,1.6846,10.2297,0.9307,1.9673,10.3447,0
Mepet Metro,0.2720,0.2246,1.2720,5.3053,0.2084,0.5826,0.4631,0.2276,0.0247,0.0328,-0.0866,-0.0787,-0.0619,4.1858,0.3505,0.1058,1.0370,43.7885,31.6858,0.8862,1.1273,1.0871,0
MLP Saglik,1.0269,0.8920,2.0269,2.7714,0.5926,0.8898,0.7964,0.2277,0.2148,0.2553,0.1955,0.1817,0.0896,2.1538,0.0000,0.0180,0.2732,12.5069,3.3113,0.4585,0.9294,3.4023,0
Mobiltel,0.4290,0.4187,1.4290,1.1655,0.3055,1.2573,1.0127,0.0337,0.0902,0.1218,-0.0255,-0.0199,-0.0140,0.2990,0.0362,0.0994,0.0304,7.4164,3.8996,0.4417,0.6311,20.7795,0
Naturel Enerji,0.4806,0.4734,1.4806,5.3347,0.1912,1.0379,1.0193,0.0378,0.6503,0.1715,1.0426,0.1073,0.0725,-4.9389,0.0000,0.0000,0.8640,25.7951,0.8227,0.0748,0.1108,0.1282,0
Odine Solutions,0.2867,-0.1561,1.2867,47.7264,0.2666,3.4518,3.3513,1.6608,0.2302,0.4135,0.0182,-0.0011,-0.0009,0.0711,0.0560,0.0107,0.0140,5.4282,1.3475,0.1927,0.2480,17.7115,0
Ozak Gayrimenkul,0.0903,0.0768,1.0903,2.5287,0.0766,3.9652,1.5652,0.1750,0.4964,0.2241,0.2898,0.0107,0.0098,1.1090,0.1309,0.1866,0.2385,0.1518,6.5407,0.0330,0.0360,0.1508,0
Park Elektrik,0.1731,0.1623,1.1731,24.0957,0.1250,1.8479,1.7030,0.0860,0.2197,0.3707,0.0383,0.0116,0.0099,2.7252,0.4650,0.0355,0.4098,2.6244,3.9713,0.0643,0.0755,0.1842,0
