Şirket Adı,TB / Ö,NFB / Ö,TK / Ö,FAVÖK / İDAFG,KVB / Ö,Cari Oran,Asit Test Oran,N / KVB,FAVÖK Marjı,BK / H,VÖK / H,NDK / Ö,NDK / TK,VÖK / Fgid,İTTA / TTA,İTTB / TTB,MDV / Ö,SM / Stok,H / TA,H / TV,H / Ö,H / MDV,Class
2023-DAGİ YATIRIM,5.3342,5.3041,6.3342,-2.2403,5.0499,1.1694,0.4953,0.0060,-0.0369,0.0163,-0.0568,-0.5676,-0.0896,-2.8464,0.4984,0.0000,0.2810,2.9036,118.8626,1.5865,10.0494,35.7691,0
2023-DARDANEL,1.2965,1.2661,2.2965,1.9863,1.1436,0.2421,0.2421,0.0265,0.1239,0.2716,-0.0588,-0.0708,-0.0308,-0.3218,0.0000,0.0016,1.3020,0.0000,6.9008,0.5211,1.1966,0.9191,0
2023-DATAGATE BİLGİ,3.6808,3.4019,4.6808,0.7883,3.6703,1.2459,0.9397,0.0760,0.0378,0.0738,0.0028,0.0187,0.0040,0.0591,0.0000,0.3505,0.0015,4.5034,1.9512,1.1675,5.4650,3572.1405,0
2023-DEVA HOLDİNG,1.1390,0.9942,2.1390,6.1476,1.0121,1.4312,0.9707,0.1431,0.5025,0.5779,0.3889,0.2597,0.1214,3.4227,0.0577,0.0740,0.3543,0.6807,1.4550,0.3514,0.7516,2.1216,0
2023-DOĞAN ŞİRKET,0.6729,0.4042,1.6729,14.3156,0.5560,2.3013,2.1221,0.4833,0.7340,0.3705,0.5847,0.2080,0.1243,3.3147,0.0020,0.0033,0.1024,0.9677,2.8538,0.2245,0.3756,3.6697,0
2023-DOĞU ARAS,1.3380,1.0889,2.3380,10.9756,0.7327,1.5493,1.4662,0.3400,0.1736,0.2602,0.1411,0.3101,0.1327,3.6358,0.0023,0.8649,0.0040,29.5649,5.9816,1.0410,2.4338,607.7026,0
2023-DOĞUŞ OTOMOTİV,0.9661,0.8377,1.9661,40.2111,0.7424,1.6585,0.7081,0.1731,0.2658,0.2399,0.2309,0.4765,0.2423,5.9031,0.7695,0.0623,0.1048,2.6399,7.5795,1.2463,2.4505,23.3752,0
2023-DURAN DOĞAN,1.4338,1.3496,2.4338,3.9397,1.2687,1.1096,0.6213,0.0663,0.2357,0.2343,0.0153,0.0465,0.0191,0.0693,0.0000,0.0587,0.2294,1.4148,1.9074,0.4703,1.1446,4.9891,0
2023-EGE ENDÜSTRİ,0.9637,0.7379,1.9637,26.0305,0.3924,3.4553,2.8288,0.5756,0.6228,0.3529,0.4460,0.2631,0.1340,1.5345,0.1961,0.0027,0.2383,1.8272,1.9351,0.3534,0.6941,2.9130,0
2023-EGE PROFİL,1.7544,1.4183,2.7544,62.8529,1.5779,1.2637,1.0824,0.2130,0.2267,0.3874,0.2645,0.2651,0.0962,12.5397,0.1708,0.0166,0.7210,2.7198,1.0363,0.4611,1.2701,1.7616,0
2023-ELİTE NATURE,0.4581,0.3806,1.4581,25.5712,0.3726,2.6631,1.9867,0.2079,0.4830,0.6127,0.4677,0.2614,0.1793,11.1728,0.9190,0.0000,0.4270,1.0197,1.0955,0.4551,0.6635,1.5539,0
2023-EMEK ELEKTRİK,2.9578,2.8705,3.9578,138.2797,2.6249,0.9459,0.6940,0.0332,0.5326,0.2352,-0.6116,-0.2876,-0.0727,-4.2456,0.3141,0.2888,1.3477,0.7548,0.6104,0.1649,0.6526,0.4842,0
2023-EMLAK KONUT,1.8479,1.2171,2.8479,82.7171,1.7147,1.4795,0.6358,0.3678,0.2293,0.3617,0.2524,0.1314,0.0461,3.5081,0.0000,14.8297,0.0188,0.2298,2.6391,0.1829,0.5208,27.7717,0
2023-ENERYA ENERJİ,0.6526,0.5323,1.6526,33.3818,0.4342,0.5738,0.5573,0.2769,0.0996,0.0860,0.0267,0.0185,0.0112,0.3586,0.0091,0.0109,1.3903,106.7948,7.4415,0.5064,0.8369,0.6019,0
2023-ENKA İNŞAAT,0.2865,0.1178,1.2865,515.4251,0.2073,2.6423,2.4274,0.8136,0.2686,0.2222,0.2695,0.0388,0.0301,12.2257,0.0000,0.0000,0.1131,3.3836,4.0286,0.1507,0.1938,1.7144,0
2023-ERCİYAS ÇELİK,2.1375,2.0112,3.1375,7.7132,1.7781,1.0933,0.9532,0.0711,0.1490,0.1664,0.0203,0.0146,0.0047,0.1435,0.1891,0.0621,1.0359,5.4335,2.9705,0.5176,1.6239,1.5677,0
2023-EREĞLİ TEKSTİL,2.1554,2.0792,3.1554,3.2907,1.6135,1.1964,0.6762,0.0473,0.1540,0.3352,0.1141,0.1058,0.0335,2.4088,0.4626,0.2073,0.9469,1.0119,3.0481,0.4049,1.2777,1.3494,0
2023-ESENBOĞA ELEKTRİK,0.4792,0.4648,0.0000,9.2169,0.1944,0.9566,0.9497,0.0745,2.2923,0.0463,2.0013,0.0727,0.0491,3.3551,0.0000,0.2112,0.9679,29.0817,0.4536,0.0276,0.0409,0.0422,0
2023-ETİLER GIDA,1.3207,1.2552,2.3207,3.6997,1.0280,1.3851,1.1317,0.0637,0.2100,0.2015,0.1592,0.0909,0.0392,2.2451,0.0041,0.0000,0.5552,1.7835,0.6034,0.2507,0.5818,1.0478,0
2023-EUROPOWER,0.5540,0.4140,1.5540,12.1228,0.4414,3.0001,2.5787,0.3173,0.5458,0.2553,0.5799,0.2143,0.1379,6.2737,0.2336,0.1146,0.1893,1.8162,2.4313,0.2919,0.4536,2.3967,0
2023-EYG GAYRİMENKUL,2.0381,1.9784,3.0381,34.2610,1.8207,1.3042,0.3823,0.0328,0.3569,0.3856,0.4037,0.1729,0.0569,27.8118,0.0044,0.0213,0.0310,0.1570,3.7302,0.1412,0.4290,13.8165,0
2023-FADE GIDA,0.3510,0.3317,1.3510,97.4236,0.1406,1.7933,1.7660,0.1370,1.8568,-0.0044,1.8573,0.3374,0.2497,89.4839,0.0001,0.0085,0.1376,50.1267,11.8884,0.1695,0.2290,1.6638,0
2023-FASDAT GIDA,2.6519,2.5879,3.6519,3.3567,2.5055,1.2156,0.8655,0.0256,0.0399,0.0445,0.0280,0.1350,0.0370,2.3566,0.7072,0.1005,0.4535,5.9700,3.0986,1.4337,5.2358,11.5465,0
2023-FORTE BİLGİ,0.3381,-0.2671,1.3381,4.5747,0.3161,3.8476,3.4604,1.9147,0.2540,0.3231,0.3429,0.1278,0.0955,5.5079,0.0000,0.0000,0.0074,2.4312,1.1210,0.3285,0.4396,59.7949,0
2023-FRİGO PAK GIDA,0.9387,0.8980,1.9387,7.8537,0.7146,2.0131,0.9053,0.0570,0.2010,0.2461,0.0374,0.0247,0.0127,0.1985,0.0000,0.0077,0.4655,0.9059,3.4385,0.4906,0.9512,2.0436,0
2023-FUZUL GAYRİMENKUL,1.8670,1.8610,2.8670,2.2310,0.6880,2.6468,0.5581,0.0087,3.1655,0.9214,2.3316,0.0834,0.0291,1.6383,0.8587,0.4802,0.0040,0.0008,0.0825,0.0049,0.0140,3.5090,0
2023-GAP İNŞAAT,1.6613,1.5222,2.6613,1.6414,0.9954,1.1730,0.7681,0.1397,0.1680,0.2459,0.3178,0.0749,0.0281,2.8013,0.2259,0.0154,0.0311,0.4640,8.0488,0.0932,0.2480,7.9836,0
2023-GİRİŞİM ELEKTRİK,1.0250,0.8906,2.0250,12.3699,0.8701,1.9283,1.7371,0.1545,0.4339,0.3555,0.4148,0.1942,0.0959,3.2384,0.0591,0.0083,0.2891,2.2119,1.7180,0.2820,0.5710,1.9749,0
2023-GLOBAL MENKUL,6.4939,5.7012,7.4939,2.8135,6.3818,1.1447,1.1447,0.1242,0.0097,0.0214,0.0070,0.2657,0.0355,1.9172,0.0348,0.0000,0.0644,0.0000,8.9101,6.6944,50.1674,779.3381,0
2023-GLOBAL YATIRIM,5.2016,4.7617,6.2016,2.1464,1.2877,0.8270,0.7939,0.3416,0.2583,0.0773,0.1632,0.1035,0.0167,0.7061,0.0000,0.0000,1.0742,12.2827,3.3112,0.1207,0.7486,0.6969,0
2023-GÖLTAŞ GÖLLER,1.0588,1.0326,2.0588,10.0061,0.7392,1.0550,1.0195,0.0355,0.3231,0.3295,0.1978,0.1977,0.0960,1.4705,0.0434,0.0084,0.4196,31.0797,3.1029,0.5902,1.2151,2.8961,0
2023-GRAINTURK,0.0945,0.0844,1.0945,0.0839,0.0486,13.6955,8.0599,0.2081,0.0015,0.1121,-0.0182,0.0079,0.0072,-0.9239,0.0000,0.0000,0.3067,0.7841,2.3430,0.2212,0.2421,0.7892,0
2023-GSD DENİZCİLİK,0.3298,-0.2173,1.3298,0.7998,0.1192,4.7929,4.7766,4.5886,0.1250,-0.0067,-0.0355,-0.0015,-0.0011,-0.2210,0.3489,0.0032,0.7558,30.5319,16.5009,0.0444,0.0590,0.0780,0
2023-GSD HOLDİNG,0.2345,0.0508,1.2345,26.7129,0.1349,4.9847,4.9734,1.3625,1.7859,0.9006,1.7145,0.0686,0.0555,24.0281,0.0000,0.0000,0.5597,25.9220,0.4764,0.0386,0.0476,0.0850,0
2023-GÜLER YATIRIM,0.6341,0.3307,1.6341,2.3438,0.4983,2.3174,2.2968,0.6089,4.6751,4.9914,2.8738,0.0857,0.0525,1.4365,0.0000,0.0000,0.3740,1.6129,1.7847,0.0200,0.0327,0.0874,0
2023-GÜR-SEL,0.7999,0.7140,1.7999,6.1829,0.5761,1.1191,1.1131,0.1491,0.2108,0.2191,0.1913,0.1379,0.0766,5.2461,0.0110,0.0001,0.7800,184.3974,2.0348,0.4582,0.8248,1.0574,0
2023-HATEKS HATAY,0.9359,0.9359,1.9359,0.1414,0.8191,1.2066,0.7945,0.0000,0.0250,0.1625,-0.0075,-0.0082,-0.0043,-0.1016,0.0057,0.0005,0.8328,1.0525,1.9467,0.2191,0.4242,0.5094,0
2023-HEDEF ARAÇ,1.1384,1.0597,2.1384,1.6707,0.6246,0.3274,0.2941,0.1261,0.4714,0.5555,0.2173,0.0672,0.0314,0.7334,0.6418,0.0095,1.9126,8.3264,5.5321,0.1820,0.3893,0.2035,0
2023-HEKTAŞ TİCARET,3.8306,3.1414,4.8306,0.4994,3.4448,0.9634,0.7078,0.2001,0.1384,0.3628,-0.0756,-0.0572,-0.0119,-0.1757,0.0000,0.1502,0.7567,0.6404,0.6929,0.1832,0.8852,1.1698,0
2023-HİDROPAR,1.8324,1.4831,2.8324,0.0276,1.6887,1.2110,0.5943,0.2069,0.0034,0.4724,-0.0063,0.0059,0.0021,0.0504,0.1029,0.0723,0.4384,0.2662,1.5271,0.1855,0.5254,1.1985,0
2023-HÜRRİYET GAZETE,0.4921,0.4899,1.4921,-21.5475,0.2927,1.9986,1.9046,0.0077,-1.1284,-0.2821,-1.1766,-0.1500,-0.1005,-24.4474,0.4283,0.2077,0.4657,7.4418,2.0700,0.1071,0.1598,0.3432,0
2023-ICU GİRİŞİM,1.9066,0.1707,2.9066,-246.8671,1.8855,0.9424,0.9424,0.9207,0.0000,0.0000,0.0000,-0.1247,-0.0429,-6.9422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2023-INGRAM,4.9856,4.4106,5.9856,3.4558,4.4688,1.3048,1.0841,0.1287,0.0359,0.0502,0.0153,0.0369,0.0062,0.5297,0.0001,0.0124,0.0404,5.0249,1.2443,0.8715,5.2167,128.9936,0
2023-IŞIK PLASTİK,0.5289,0.4914,1.5289,11.7959,0.4879,1.5059,1.0710,0.0770,0.1151,0.1400,0.0828,0.1037,0.0678,2.1644,0.0114,0.0395,0.7414,2.7653,4.0817,1.0000,1.5289,2.0621,0
2023-IŞIKLAR ENERJİ,0.4851,0.4851,1.4851,4.2796,0.3857,1.5558,0.8875,0.0000,0.0811,0.2302,0.0567,0.0135,0.0091,0.7325,0.0188,0.0003,0.4598,1.5155,3.2928,0.3417,0.5075,1.1037,0
2023-İHLAS EV ALETLERİ,0.3209,0.2826,1.3209,1941.9355,0.2114,4.1748,3.0813,0.1809,0.1087,0.1672,0.1039,0.0737,0.0558,13.0530,0.2084,0.1757,0.0283,3.2789,1.5717,0.6890,0.9101,32.1140,0
2023-İHLAS GAYRİMENKUL,0.2029,0.1602,1.2029,-5.2756,0.1306,1.2783,0.0000,0.3274,-0.2733,0.2096,-0.0887,-0.0233,-0.0194,-1.3747,0.0327,0.2312,0.0025,0.6745,0.4722,0.1184,0.1424,56.2913,0
2023-İHLAS HOLDİNG,0.9350,0.8687,1.9350,4.8012,0.2970,4.2920,2.1062,0.2232,0.0621,0.2417,0.0750,0.0198,0.0102,3.6792,0.0046,0.0074,0.2853,0.4385,0.9671,0.1940,0.3754,1.3158,0
2023-İHLAS YAYIN HOLDİİNG,0.2591,0.1560,1.2591,9.4862,0.1303,4.2405,3.4754,0.7913,0.0321,0.1948,0.0661,0.0167,0.0133,2.4190,0.0878,0.1375,0.1815,2.9879,1.5968,0.2937,0.3698,2.0377,0
2023-İNDEKS BİLGİSAYAR,5.2300,4.1636,6.2300,2.0063,5.2193,0.2616,0.0000,0.2043,0.0428,0.0546,0.0296,0.2042,0.0328,1.3667,0.0000,0.0001,0.0212,7.2240,3.1310,1.5833,9.8642,464.2887,0
2023-İZDEMİR ENERJİ,0.4924,0.4750,1.4924,11.8821,0.4800,0.9578,0.2131,0.0362,0.0908,0.0989,0.0265,0.0546,0.0366,0.4072,0.0350,0.0387,0.7274,3.1310,24.1022,0.8321,1.2418,1.7071,0
2023-İZMİR DEMİR,9.0813,8.7931,10.0813,-33.3891,7.4297,0.6635,0.2291,0.0388,-0.8935,0.1065,-0.0888,-0.7682,-0.0762,-0.3967,0.0017,0.0818,3.7618,2.4931,16.0268,0.8934,9.0067,2.3943,0
2023-İZMİR FIRÇA,1.1935,1.1571,2.1935,3.5089,1.0295,1.6706,1.1670,0.0354,0.0772,0.1916,0.0537,0.0567,0.0258,2.0430,0.0000,0.0372,0.3990,2.0909,1.2672,0.6112,1.3408,3.3600,0
2023-KAFEİN YAZILIM,0.4377,0.3885,1.4377,8.9766,0.3802,2.6708,2.5413,0.1296,0.0504,0.2938,0.0898,0.1128,0.0785,15.8898,0.0003,0.0000,0.0472,15.9009,2.3415,0.7711,1.1086,23.4735,0
2023-KALESERAMİK,2.8668,2.6049,3.8668,1.7784,2.3932,1.0863,0.7051,0.1095,0.1227,0.2455,0.1158,0.2735,0.0707,0.8649,0.0027,0.1037,0.6406,1.4142,1.6959,0.4422,1.7098,2.6689,0
2023-KARTONSAN,0.3463,0.0771,1.3463,-51.7575,0.2973,2.8411,1.5575,0.9056,-0.0567,0.0261,-0.0725,-0.0025,-0.0019,-4.5722,0.0588,0.0015,0.3605,1.4566,4.7808,0.4240,0.5708,1.5835,0
2023-KAYSERİ ŞEKER,0.5440,0.4449,1.5440,3.6878,0.4586,1.4977,0.6804,0.2161,0.3249,0.2358,0.3018,0.0837,0.0542,5.6090,0.0000,0.0001,0.4558,0.6549,6.2259,0.2080,0.3212,0.7047,0
2023-KEREVİTAŞ,2.0513,2.0422,3.0513,2.0255,1.7174,1.2060,0.8139,0.0053,0.1149,0.2120,0.0124,0.0096,0.0032,0.1212,0.4846,0.0176,0.7905,-2.1224,2.9810,0.5944,1.8138,2.2944,0
2023-KERVAN GIDA,1.7632,1.5541,2.7632,6.8098,1.6013,1.0505,0.6970,0.1306,0.2683,0.3105,0.0598,0.0502,0.0182,0.2869,0.0027,0.0207,0.8069,1.8296,2.1659,0.5436,1.5021,1.8616,0
2023-KİLER HOLDİNG,0.5541,0.5303,1.5541,53.6086,0.4790,1.6781,0.9977,0.0495,2.1729,0.2930,2.1933,0.1745,0.1123,38.9125,0.0916,0.0056,0.0405,0.1881,0.4937,0.0558,0.0867,2.1414,0
2023-KOLEKSİYON MOBİLYA,0.8623,0.7555,1.8623,5.1974,0.5621,1.0535,0.7042,0.1899,0.3027,0.5825,0.2502,0.1306,0.0701,3.7023,0.0011,0.0000,0.7376,1.3354,3.5451,0.3372,0.6280,0.8514,0
2023-KONFRUT,2.3073,2.2975,3.3073,3.7433,2.0391,1.3607,0.7983,0.0048,0.1988,0.2477,0.1116,0.1721,0.0520,1.0493,0.4637,0.0733,0.4743,1.2778,3.9597,0.5890,1.9480,4.1069,0
2023-KONTROLMATİK,2.8388,2.6054,3.8388,7.7084,1.4697,1.3494,1.1100,0.1588,0.2636,0.0555,0.1711,0.2205,0.0574,0.7343,0.0493,0.0151,1.0480,1.6361,0.9492,0.1588,0.6096,0.5817,0
2023-KORAY GAYRİMENKUL,16.9484,16.1660,17.9484,1.3028,3.2133,0.6420,0.6419,0.2435,0.0658,0.1773,0.0911,0.1257,0.0070,1.6319,0.0004,0.0029,0.0722,23.9575,1.5921,0.0898,1.6127,22.3444,0
2023-KORTEKS MENKUL,1.7967,1.7843,2.7967,-0.1619,1.4348,1.3880,1.2725,0.0086,-0.0433,0.1235,0.2858,0.1248,0.0446,0.3517,0.3057,0.1076,0.6627,2.1757,3.4178,0.1471,0.4115,0.6209,0
2023-KRON TEKNOLOJİ,1.0752,0.8753,2.0752,5.8490,0.7758,1.4792,1.4548,0.2577,0.3238,0.8631,0.2715,0.1575,0.0759,1.2713,0.0000,0.0000,0.0221,4.2384,1.0742,0.2834,0.5881,26.6131,0
2023-KUVVA GIDA,19.6742,19.5002,20.6742,-9.3335,17.1720,0.0875,0.0638,0.0101,-0.5175,0.3742,-0.7897,-0.5250,-0.0254,-2.6940,0.1792,0.0353,4.3946,1.1077,1.0545,0.0349,0.7210,0.1641,0
2023-KUYAŞ YATIRIM,0.2617,0.2184,1.2617,23.5012,0.0860,3.0524,2.9227,0.5029,1.2793,0.2880,1.2572,0.1380,0.1094,22.6191,0.0000,0.6924,0.2980,7.9824,0.8720,0.0991,0.1250,0.4195,0
2023-KÜTAHYA PORSELEN,1.2590,1.2361,2.2590,2.9102,1.0896,1.4257,0.8197,0.0210,0.1258,0.4709,0.0909,0.0872,0.0386,2.0024,0.0709,0.0796,0.5264,0.9372,1.4092,0.5177,1.1695,2.2219,0
2023-LOKMAN HEKİM,2.0800,1.9578,3.0800,3.8939,1.2929,0.7960,0.6473,0.0945,0.1209,0.2072,0.0668,0.1498,0.0486,0.9448,0.0347,0.0660,0.8980,6.7518,3.2508,0.5316,1.6372,1.8232,0
2023-LÜKS KADİFE,0.9803,0.8362,1.9803,6.0847,0.5943,1.2789,0.9889,0.2424,0.3152,0.3406,0.0122,0.0016,0.0008,0.0279,0.2609,0.0000,0.6416,1.5130,1.2515,0.1997,0.3955,0.6164,0
2023-MARGÜN ENERJİ,0.4382,0.4257,1.4382,13.9339,0.1589,1.0404,1.0381,0.0786,3.3440,0.3810,3.0140,0.0777,0.0540,4.1040,0.0000,0.0000,0.9637,50.3659,0.3992,0.0211,0.0303,0.0314,0
2023-MARKA MAĞAZACILIK,2.0632,1.4346,3.0632,0.8321,1.0353,1.7900,1.2048,0.6071,0.1146,0.6002,0.0970,0.1322,0.0432,1.3897,0.0004,0.1308,0.2833,0.7842,5.7599,0.3880,1.1884,4.1957,0
2023-MARKA YATIRIM,1.9734,1.8860,2.9734,0.7665,1.8424,1.2137,1.1183,0.0474,0.0232,0.2465,-0.0071,0.0140,0.0047,-0.2335,0.0308,0.0000,0.0947,1.9070,0.4594,0.1495,0.4446,4.6942,0
2023-MAVİ GİYİM,1.5438,0.7623,2.5438,6.8519,1.4174,1.3772,0.8524,0.5514,0.1812,0.5099,0.1637,0.2831,0.1113,2.7786,0.0000,0.1496,1.9520,1.3773,2.6749,0.8218,2.0904,1.0709,0
2023-MEGA POLİETİ,2.8405,2.7694,3.8405,2.7890,2.7437,1.2230,0.8283,0.0259,0.1432,0.1946,0.0919,0.1885,0.0491,1.7901,0.0000,0.0000,0.4512,1.2485,0.8425,0.4371,1.6788,3.7205,0
2023-MEKSA YATIRIM,3.6427,2.3003,4.6427,390.1369,3.6208,1.2294,1.2294,0.3707,0.4153,0.8696,0.4262,0.2749,0.0592,14.2985,0.0010,0.1347,0.0363,0.0000,0.3618,0.1869,0.8676,23.9062,0
2023-MEPET METRO,0.5063,0.4684,1.5063,8.5265,0.4008,0.3016,0.2279,0.0944,0.0565,0.0629,0.0532,0.0533,0.0354,3.0488,0.7214,0.0080,1.3375,38.3959,28.9724,0.8035,1.2102,0.9049,0
2023-MERCAN KİMYA,0.8152,0.7628,1.8152,2.0882,0.7576,1.6083,1.0439,0.0691,0.1265,0.1700,0.1142,0.0893,0.0492,1.3449,0.0000,0.0000,0.2922,1.8896,2.1333,0.5363,0.9736,3.3323,0
2023-SEKURO PLASTİK,2.1591,2.0981,3.1591,3.0612,1.1378,1.1378,0.5948,0.0535,0.2095,0.1445,0.1204,0.0072,0.0023,0.4359,0.0000,0.0000,1.8512,1.2211,1.5785,0.2791,0.8818,0.4763,0
2023-MOBİLTEL İLETİŞİM,0.4615,0.4268,1.4615,4.4036,0.2917,1.2465,0.9819,0.1192,0.0764,0.1048,0.0652,0.0375,0.0256,3.7373,0.0377,0.1264,0.0121,8.1475,3.6423,0.4805,0.7023,58.1118,0
2023-MONDİ TURKEY,1.7033,1.6331,2.7033,0.2811,1.5780,1.2164,0.9047,0.0445,0.0070,0.1779,-0.0086,-0.0437,-0.0162,-0.1877,0.0000,0.3805,1.9194,3.3022,1.5784,0.7309,1.9758,1.0294,0
2023-NASMED,0.6242,0.5113,1.6242,0.7820,0.2845,1.3050,1.3050,0.3969,0.0322,0.2930,0.0470,0.0322,0.0198,1.1139,0.2020,0.0848,0.9699,0.0000,3.9648,0.3889,0.6316,0.6512,0
2023-NATUREL YENİLENEBİLİR,0.5267,0.5108,1.5267,10.4473,0.2420,0.9501,0.9407,0.0660,1.4016,0.0756,1.3397,0.0724,0.0474,5.1102,0.0000,0.0762,0.9621,24.6850,0.5054,0.0398,0.0608,0.0632,0
2023-NET HOLDİNG,0.6969,0.6032,1.6969,5.0553,0.2821,0.4952,0.4534,0.3323,0.3487,0.4697,-0.1429,-0.0265,-0.0156,-0.1853,0.0150,0.0000,0.9839,7.9342,22.2585,0.1040,0.1764,0.1793,0
2023-NETAŞ TELEKOM,358.0710,330.2726,359.0710,-0.7902,345.1323,0.7649,0.6428,0.0805,-0.0254,0.0707,-0.0128,0.1087,0.0003,-0.2376,0.0226,0.5200,7.1065,4.2587,1.3361,0.5375,192.9976,27.1580,0
2023-NUH ÇİMENTO,0.4784,0.2828,1.4784,29.6217,0.3884,1.7893,1.5088,0.5035,0.3035,0.3365,0.2747,0.2043,0.1382,3.1274,0.0021,0.0000,0.2586,5.1507,3.5412,0.5721,0.8459,3.2711,0
2023-NUROL HOLDİNG,3.0047,2.5036,4.0047,2.9545,2.0312,0.9154,0.7556,0.2467,0.9945,0.4572,0.3790,0.1428,0.0357,0.4495,0.0059,0.0000,0.5718,0.9385,0.8801,0.1101,0.4411,0.7713,0
2023-NUROL İNŞAAT,1.5806,1.4954,2.5806,6.9456,0.4771,1.1257,0.8860,0.1786,1.5204,0.1617,0.7727,0.3259,0.1263,0.8133,1.0000,0.0425,0.0396,2.7214,2.1105,0.1439,0.3713,9.3859,0
2023-OBASE BİLGİSAYAR,0.5005,0.0932,1.5005,2.9736,0.4257,1.9564,1.9535,0.9569,0.0256,0.1525,0.1330,0.0705,0.0470,5.3457,0.0000,0.0000,0.0223,362.5455,1.8534,0.3482,0.5224,23.4739,0
2023-ODAŞ ELEKTRİK,1.3482,1.2780,2.3482,433.8676,0.7892,1.0201,0.8088,0.0891,0.3509,0.2541,0.3028,0.1714,0.0730,2.5909,0.0060,0.0019,1.3009,2.4964,1.3498,0.2376,0.5580,0.4289,0
2023-OFİS YEM,2.5791,2.4841,3.5791,3.0629,2.2634,1.4172,1.2120,0.0420,0.0864,0.0931,0.0588,0.2411,0.0674,1.9772,0.1230,0.1416,0.3445,10.6154,2.9547,1.5194,5.4381,15.7869,0
2023-ORGE ENERJİ,0.6413,0.5686,1.6413,26.9810,0.4600,2.9633,2.6571,0.1579,0.5233,0.4691,0.5003,0.2530,0.1542,17.2351,0.0000,0.0000,0.0056,2.3229,3.1832,0.3755,0.6163,109.4451,0
2023-OYAK ÇİMENTO,0.4868,0.3134,1.4868,27.3739,0.4335,2.1530,1.6683,0.4001,0.3133,0.3766,0.3271,0.2808,0.1889,16.4333,0.1038,0.1878,0.2827,2.6166,2.7072,0.5932,0.8820,3.1194,0
2023-ÖZAK GAYRİMENKUL,0.0888,0.0791,1.0888,90.8004,0.0506,4.5790,3.8381,0.1911,12.2888,0.7707,13.6473,0.3218,0.2955,71.7930,0.3992,0.1394,0.0023,0.1442,1.6305,0.0217,0.0236,10.3648,0
2023-ÖZERDEN AMBALAJ,0.6984,0.3142,1.6984,25.1881,0.5324,2.1942,1.5322,0.7217,0.3034,0.4830,0.3247,0.4787,0.2818,20.9601,0.0000,0.0000,0.3847,2.6823,6.3027,1.0767,1.8287,4.7539,0
2023-ÖZSU BALIK,2.0361,1.9531,3.0361,2.1509,1.8634,1.3523,1.3094,0.0445,0.1087,0.0067,0.0424,0.0767,0.0253,0.4966,0.0887,0.1890,0.1880,17.6904,4.9891,0.6054,1.8380,9.7768,0
2023-PAMEL YENİLENEBİLİR,0.3549,0.2207,1.3549,7.0290,0.0708,2.1089,2.1089,1.8953,5.1055,0.2603,4.0264,0.1326,0.0978,3.4734,0.0000,0.0000,1.1929,0.0000,3.3266,0.0277,0.0375,0.0314,0
2023-PAPİLON SAVUNMA,0.1359,-0.1153,1.1359,124.3114,0.0496,20.5014,18.9305,5.0665,4.7917,0.6181,5.5702,0.3860,0.3398,76.5175,0.0000,0.0000,0.0042,0.4231,1.3842,0.0760,0.0863,20.7832,0
2023-PARK ELEKTRİK,0.3029,0.2810,1.3029,117.3595,0.2153,1.1343,1.0701,0.1020,3.3613,0.4336,5.6004,0.2862,0.2197,774.5475,0.2902,0.0074,0.1724,2.5319,1.8154,0.0474,0.0618,0.3583,0
2023-PARSAN MAKİNA,0.7625,0.7427,1.7625,10.5558,0.4907,0.5745,0.2808,0.0404,0.2311,0.2134,0.1460,0.0101,0.0057,1.4343,0.0070,0.5591,1.2222,1.7610,3.4301,0.1831,0.3227,0.2640,0
2023-PC İLETİŞİM,2.9119,2.2332,3.9119,22.1786,2.7978,1.1109,1.1109,0.2426,0.1383,0.0956,0.1468,0.4150,0.1061,23.3849,0.0026,0.0297,0.0112,0.0000,1.5421,0.8601,3.3646,301.2126,0
2023-PEKER GAYRİMENKUL,0.1196,-0.0791,1.1196,49.5847,0.1185,2.7827,2.5499,1.6770,0.4846,0.0673,0.4768,0.1395,0.1246,47.5975,0.0000,0.0000,0.0057,9.8975,16.4490,0.2614,0.2926,51.0860,0
2023-PENGUEN GIDA,0.4896,0.4694,1.4896,1.9780,0.3933,1.1761,0.4334,0.0514,0.1307,0.2734,-0.0412,-0.0107,-0.0072,-0.2232,0.0000,0.0000,0.9684,0.4338,2.4793,0.1171,0.1744,0.1801,0
2023-QUA GRANİT,1.4501,1.3173,2.4501,3.9586,1.3008,1.3995,1.1615,0.1021,0.3956,0.3390,0.1808,0.1382,0.0564,0.5924,0.2304,0.1633,0.5837,1.4058,0.9724,0.2687,0.6583,1.1279,0
2023-SELVA GIDA,1.0363,0.9846,2.0363,1.5672,0.8032,0.8683,0.3796,0.0644,0.0555,0.1863,0.0383,0.0384,0.0189,0.9199,0.0002,0.0250,0.6576,2.0915,8.5269,0.4955,1.0089,1.5342,0
2023-SERVET GAYRİ,2.0485,2.0479,3.0485,3.8420,0.3689,0.4060,0.4060,0.0015,0.8827,0.9086,-12.1348,-0.4214,-0.1382,-0.9178,0.0406,0.2363,0.0024,0.0000,5.6681,0.0114,0.0347,14.2938,0
